prompt_id,prompt_text
blog_terrarium_setup,"Professional blog header image showing a complete gecko terrarium setup with plants, branches, and proper lighting. Clean modern photography style with soft natural lighting."
blog_gecko_acquisition,"Warm editorial photograph of hands gently holding a small crested gecko. Caring and educational atmosphere, soft focus background, realistic photography."
blog_health_signs,"Close-up editorial photo of a healthy active gecko on a branch, showing clear eyes and alert posture. Natural colors, educational style, soft lighting."
blog_madagascar,"Scenic landscape photo of Madagascar rainforest habitat with endemic gecko species visible. National Geographic style nature photography."
blog_feeding_mistakes,"Educational flat-lay photo showing correct gecko feeding setup with insects and supplements. Clean overhead shot, organized presentation."
blog_calcium_nutrition,"Detailed macro photo of nutritious feeder insects dusted with calcium powder. Clean white background, product photography style."
blog_nutrition_guide,"Informative flat-lay arrangement of various gecko food items, supplements, and feeding tools. Clean organized composition, bright natural lighting."
blog_health_treatment,"Clinical but warm photo of gecko health examination setup with care supplies. Professional veterinary style, clean and trustworthy."
blog_beginner_guide,"Welcoming photo of a beautiful gecko terrarium from an appealing angle. Inviting beginner-friendly aesthetic, warm lighting."
blog_breeding_legal,"Professional photo of gecko breeding documentation and certificates on a desk. Clean business-like presentation, organized aesthetic."
blog_terrarium_instructions,"Step-by-step visual of terrarium assembly with substrate, plants and equipment. Clean instructional photography style, bright even lighting."
species_haubengeier,"Detailed realistic illustration of Rhacodactylus auriculatus (Gargoyle Gecko) on bark. Scientific illustration style with natural colors and accurate details."
species_kronengecko,"Beautiful realistic photo of Correlophus ciliatus (Crested Gecko) on moss. Natural habitat setting, sharp focus, nature documentary quality."
species_kuhl_gecko,"Detailed photo of Ptychozoon kuhli (Kuhl's Flying Gecko) showing patagium. Natural lighting, scientific documentation style, accurate colors."
species_leopardgecko,"High-quality photo of Eublepharis macularius (Leopard Gecko) on desert sand. Clean background, showing distinctive spotted pattern, professional pet photography."
species_tokay_gecko,"Vibrant photo of Gekko gecko (Tokay Gecko) with characteristic blue and orange coloring on tree bark. Bold colors, nature photography style."
species_kaledonischer,"Professional photo of Rhacodactylus leachianus (New Caledonian Giant Gecko). Largest gecko species, impressive scale, detailed texture visible."
